pull_request_id,pr_src_title
293994,Automated cherry pick of #89232: Use discovery to test apply all status
274569,Update IPVS doc
263608,Charges quota only for initialized objects
211669,Adding capability to delete resources via label selector
242270,"Update ""kubectl get all"" to display resource type as part of name"
290572,Adding FQDN address type for EndpointSlice
292404,[WIP] Provider/Azure: Enrich unit tests.
265695,"Add audit-logging, feature-gates & few admission plugins to kubemark"
242905,Initial proposal for node-local services
278563,apiserver: use self-signed cert fixtures in integration test servers
235406,Cluster autoscaling proposal
280465,Use NodeGetId() as a fallback when NodeGetInfo() is not implemented in the driver
246025,CRI: proposal for managing container stdout/stderr streams
248160,Federated config map e2e test
285138,namespace: remove gc finalizers based on delete options
233471,Adding a proposal for deployment
249401,[Federation][kubefed] Create a dedicated service account for federation controller manager in the host cluster and give it appropriate permissions.
283107,Add Cinder Max Volume Limit
293435,Utilerrors.Aggregate: Allow using with errors.Is()
243677,kubectl config set-crentials: add arguments for auth providers
211453,Refactor kube auth
276933,Apply pod name and namespace labels for pod cgroup for cadvisor metrics
230156,*: update go-etcd dependency
275747,wire through custom-column print flags
245584,Adding test-federation-cmd.sh for testing kubectl with federation-apiserver
242158,[garbage collector] add e2e test
240251,kubectl: more sophisticated pod selection for logs and attach
262522,CPU manager interfaces.
231496,Better profiling utilites
232852,add examples on how to transition from docker-cli to kubectl
280020,add unit test to reproduce bug Storage:devicePath is always empty #67342
209892,"Extend the CLI output to allow JSON, YAML and Human Readable output"
294035,Add CLI script for listing untested conformance behaviors
279808,Handle force detach
287433,reference paths to bump dependencies
211598,Sketch: a different take on defaulting values
234557,Extract latency test so it can be run separately from density E2E
228905,API call to teardown all external resources.
283545,Kubectl exec support resource/name format
293259,Add compatibility tests for framework plugin configuration
235623,kubelet/rkt: update supported rkt version
238484,Extract On-Call docs out of wiki
211372,Update glog package to get *Depth() functions.
210895,Sending Docker log files to Elasticsearch
262045,NR Infrastructure agent example daemonset
262575,kubeadm: add `kubeadm phase addons` command
279159,Automated cherry pick of #66832: Detect if GCE PD udev link is wrong and try to correct it
241100,rkt: Support alternate stage1's via annotation
280835,Parallelize CSI SkipAttach tests
247422,Add e2e test for CockroachDB statefulset
276921,Let the garbage collector use json merge patch when SMP is not supported
243478,Design for automated HA master deployment
286770,Add support for Azure File plugin to csi-translation-lib
229372,Kubelet: support retrieving stats using UID of mirror pods
228791,Getting Started Guide - Ubuntu Two Node Cluster
249848,Optimization of on-wire information sent to scheduler extender interfaces that are stateful
250929,"Add DaemonSet templateGeneration validation and tests, and fix a bunch of validation test errors"
250993,add kubectl api-resources command
282015,Amend test to work with with version skew of 1.13+ by using CSI V1 compatible drivers and sidecars
275685,bug fix: create/update CRD panic when mutating webhook configured
243019,[wip] Esipp hacking
213381,Switch events history to use LRU cache instead of map
276091,Automated cherry pick of #61404: apiserver's webhook admission use its own scheme
274432,Add useInstanceMetadata param back in Azure cloud provider
230690,add hostdir e2e test
243367,Proposal: Introduce Idling and Unidling
293976,Allow authenticators to set audit annotations
252439,WIP: recover hyperkube container
245467,Automated cherry pick of #33141
237227,Node affinity and NodeSelector design doc
239750,"Add simplified testing instructions, testing detail, etcd check"
235892,Automated cherry pick of #15842
235264,Automated cherry pick of #14566
234946,Job e2e
210984,Add a least-requested priority function
245433,don't mutate original master->kubelet TLS config
289622,Automated cherry pick of #82434: Encryption config: correctly handle overlapping providers
289495,Encryption config: correctly handle overlapping providers
278615,DEBUG bazel
282813,Pod affinity/anti-affinity support Gt and Lt operators
289623,[1.15] Encryption config: correctly handle overlapping providers
244706,Use secrets for glusterfs provisioning passwords
275744,wire through name/success print flags
232817,e2e: add resourceMontior to poll resource usage on the nodes
283708,Automated cherry pick of #70735 #73845 upstream release 1.12 
276695,passthrough readOnly to subpath
277029,[1.10] Automated cherry pick of #63045: passthrough readOnly to subpath
237270,Add hack/update-godep-licenses.sh to generate Godeps/LICENSES.md
274697,Adding per container stats for CRI runtimes
285559,[DO NOT MERGE] Debugging
287454,Don't use strategic merge patch on Node.Status.Addresses
263814,Disable default paging in list watches
277030,[1.9] Automated cherry pick of #63045: passthrough readOnly to subpath
235624,add a discovery-client
282038,Preemption e2e test
266354,Adds Support for Configurable Kubeadm Probes.
283706,Automated cherry pick of #70735 #73845 upstream release 1.11 
246765,Curating Owners ===============
267355,E2E Performance test to print latency numbers for vsphere volume lifecycle operations
260982,fix GPU resource validation that incorrectly allows zero limits
244072,Update scheduler config file compatibility tests
231427,Network timeout
236040,Automated cherry pick of #15659
280260,kube-apiserver should wait/block for kms-plugin to start.
243295,[GarbageCollector] add e2e tests again
235315,Add a README for private registry
246663,GC pod ips
239340,Implement GCE provisioner with QoS
280926,kubeadm: Introduce config print init/join-defaults
289337,add conditions for remaining object totals during ns termination
268951,components only display its relevant feature flags
242019,dynamic provisioning proposal
229493,Add validation for node creation.
244131,[GarbageCollector] Allow per-resource default garbage collection behavior
232540,Better volumes docs
211305,Use user-string in authentication attributes.
230449,Add support for HTTP basic auth to the kube-apiserver.
271547,Send an event just before the Kubelet restarts to use a new config
275092,WIP - Prevent read anomalies from the watch cache
283854,Implement a dedicated serializer package for ComponentConfigs
279205,Integration test for CronJob
272331,Add additional unit tests for Azure cloud provider.
276263,Automated cherry pick of #62154: fix incompatible file type checking on Windows
212838,Allow client and kubelet configs to hold cert/key/ca data directly
247228,Adding cascading deletion support to federation replicaset and deployments
293924,Remove dependency for integration framework tests from e2e fw
243869,Proposal: Dramatically Simplify Kubernetes Cluster Creation
285682,kubeadm: improve resiliency when conflicts arise when updating the kubeadm-config configmap
236945,Initial revision of conformance node environment conformance tests
270751,Fix Heapster and Metrics Server configuration to enable overriding resource requirements.
274270,Add more tests for Azure routes.
259718,Automated cherry pick of #49353
288763,Support Kubelet PluginWatcher in Windows
252502,Add `kubectl config use-ns` to easy switch namespace
231290,Add doc.go files for all volume plugins
210555,"extend selector with EXISTS, new tests/some old tests use table-driven style"
288477,Add a YAML MetaFactory
288790,apiextensions: ignore path conflict and resolve definition conflict when merging openapi spec
262218,kubeadm: Implement 'kubeadm config'
292143,"aad fallback to real auth if refresh token fails, fixes #82776"
246544,Federation: separate notion of zone-name & dns-suffix
212915,Make kubelet's file source go through conversion
288630,Return CR validation errors as field errors
259631,Use specified ServerName in aggregator TLS validation
276782,[WIP] Implement opt-in graceful delete extension for custom resources
258622,Support podAffinity on podPresets
282685,RunAsGroup - Update DropDisabled[Alpha]Fields behaviour
277031,[1.8] Automated cherry pick of #63045: passthrough readOnly to subpath
271304,Add persistent volume e2e test for iSCSI plugin
230915,"resurrecttion (for now, disabled) E2E k8bps soak test. "
234878,Support kubectl group/resource name
243495,"Add ""make help"" to list all make targets and help info"
238936,e2e test for dynamic provisioning.
288446,OpenStack: use set informers
290960,Restrict mirror pod owner references
233739,to add tests for RC selector overlapping and fix few comments
272117,Unit-test-case: Ambiguous or no match for resource and kind
279260,Multi-arch images for metadata-concealment check container
271186,[WIP] Let the garbage collector use json merge patch
251828,Launch kubemark with an existing Kubemark master
211781,WIP: auto-scaler proposal
260618,adding kube-controller-manager starting option tests
274422,Add node e2e tests to verify HugePages feature
242466,add optional mutation checks for shared informer cache
260731,Add UT for pkg/kubectl/clusterrolebinding_test.go
260700,Add UTs for pkg/kubectl/generate_test.go
235147,Improvements to deployment e2e
233789,Automated cherry pick of #10608
286389,CRDs should support watch of protobuf PartialObjectMetadata
211436,Add node status to API object.
262369,Fixes to enable Windows CNI 
229360,Running node selector predicate on kubelet.
240336,Cluster Verification Framework
230818,add dockercfg secret types
238108,ip-route-elb concept
276151,provision kubelet config file for GCE instead of deprecated flags
245910,Deny service ClusterIP update from `None`
235168,Fix NegotiateVersion. Split from #14592
279517,Forcefully detach the volumes on pod deletion if kubelet is unavailable 
230617,E2E: Soak test and Functional tests for K8Petstore 
291013,Fix a CM panic when ipam tries to lock an out of range pre existing cidr
277387,WIP - POC to limit kubelet to modifying well-known labels in NodeRestriction admission
235415,Automated cherry pick of #14917 upstream release 1.1
229523,`kubectl label` should support resource builder
243668,Support for creation/removal of master replicas.
251178,e2e tests for VSAN policy support in Kubernetes for vSphere
290786,add priority to favor nodes with least non ready pods
260461,User friendly load balancer names
276313,Supported nodeSelector.matchFields in scheduler.
291767,Provide a mechanism to enable hidden metrics in stable collector
289673,[WIP] Migrate predicates functions into the scheduling framework
251500,[WIP/RFC] Inject a shared memory backed volume to back /dev/shm
236553,Resource quota observes deletes faster
210511,Access.md added.
241014,Conversions have kube-isms and are not portable for downstream
241302,Adding support objects for integrating dynamic client the kubectl builder
229727,Updating target pools on cloud nodes change.
263752,Decouple kube-proxy upgrade/downgrade tests from upgradeTests
250831,make storm examples use gcr image registry
251203,kubectl: Use v1.5-compatible ownership logic when listing dependents.
240691,Proposal for how to store and display test results
276442,Adding kube dns to kubemark
235876,Provide a RetryOnConflict helper for client libraries
244201,[wip] Add Google Cloud DNS support to LoadBalancer Services
245643,Add e2e test for daemonset pod affinity
252392,Automated cherry pick of #44124 #44868 upstream release 1.6
244978,[WIP][DO-NOT-MERGE] Test kubemark with get all pr
232194,"verify and default APIVersion in createHandler, verify APIVersion in UpdateResource"
267219,Change scheduler to skip pod with updates only on pod annotations
229877,Add support for HTTP basic auth to the kube-apiserver.
231201,add pull secrets to service accounts
282191,[FEATURE-SERVERSIDE-APPLY] Encode/Decode PathElement to/from strings
235573,Fix race condition for consuming podIP via downward API.
250107,Bump test coverage for initialresources
231255,coreos/azure add addons and bump fluentd
246201,"add admin,edit,view roles"
292950,WatchBasedManager stops  watching immutable objects
235455,Automated cherry pick of #15159 upstream release 1.1
228775,Filter irrelevant pods from quota
232155,GKE upgrade tests
235300,Add unit tests for deployment controller
282952,Remove Sysctls feature gate from validation
268646,"Update to adding proxier test that uses ""iptables-restore --test"" to validate iptables rules"
284238,Add 1.14 branches for the publishing-bot
259445,kubectl: add a couple flags from 'kubectl run' to 'kubectl create deployment'
290505,feat(scheduler): implement node affinity as score plugin
